排名,代码,名称,每股分红合计,最新价,昨收,最新分红率,昨日分红率,分红率涨跌幅,是否保留,买入提醒pe,买入提醒价格,买入pb
406,600398,海澜之家,0.18,5.91,5.99,3.045685279187817,3.005008347245409,0.040676931942408,,,,
407,002658,雪迪龙,0.25,8.23,7.48,3.0376670716889427,3.3422459893048124,-0.304578918,,,,
408,600982,宁波能源,0.15,4.95,5.1,3.03030303030303,2.941176470588235,0.0891265597147947,,,,
409,002223,鱼跃医疗,0.8,26.43,26.88,3.026863412788498,2.9761904761904763,0.0506729365980218,,,,
410,003011,海象新材,0.6,19.83,19.61,3.0257186081694405,3.059663437021928,-0.033944829,,,,
411,601898,中煤能源,0.424,14.05,13.93,3.01779359430605,3.043790380473798,-0.025996786,,,,
412,600989,宝丰能源,0.6899932,22.89,22.81,3.014387068588903,3.024959228408593,-0.01057216,,,,
413,603416,信捷电气,1.46,48.45,48.53,3.0134158926728585,3.008448382443849,0.0049675102290094,,,,
414,603080,新疆火炬,0.5599999999999999,18.59,18.76,3.0123722431414737,2.985074626865672,0.0272976162758022,,,,
415,600475,华光环能,0.4499999999999999,14.99,14.34,3.002001334222815,3.1380753138075312,-0.13607398,,,,
