排名,代码,名称,每股分红合计,最新价,昨收,最新分红率,昨日分红率,分红率涨跌幅,是否保留,买入提醒pe,买入提醒价格,买入pb
4,605368,蓝天燃气,0.8500000000000001,6.55,6.69,12.977099236641225,12.705530642750372,0.2715685938908496,是,18,,
9,000858,五粮液,8.323,75.12,75.28,11.079605963791266,11.05605738575983,0.0235485780314359,否,,,
12,000915,华特达因,2.5,25.95,25.86,9.633911368015417,9.667440061871616,-0.033528694,是,11.2,,
22,002014,永新股份,0.8999999999999999,10.58,10.78,8.506616257088846,8.348794063079778,0.1578221940090678,是,12.5,,
23,600566,济川药业,2.09,25,25.19,8.36,8.296943231441047,0.0630567685589529,是,10.5,,
25,603165,荣晟环保,1.1,13.54,13.92,8.124076809453472,7.902298850574713,0.2217779588787589,是,12.3,,
28,600153,建发股份,0.7,8.87,8.94,7.891770011273957,7.829977628635347,0.0617923826386102,否,,,
30,002807,江阴银行,0.3,3.95,3.92,7.59493670886076,7.653061224489797,-0.058124516,否,,,
33,601088,中国神华,3.24,44.34,44.07,7.307171853856563,7.351940095302928,-0.044768241,是,,35,
48,002557,洽洽食品,1.3,19.36,19.41,6.714876033057851,6.697578567748582,0.0172974653092685,否,,,
49,600182,S佳通,0.91,13.59,13.4,6.696100073583517,6.791044776119404,-0.094944703,否,,,
50,603408,建霖家居,0.69,10.32,10.36,6.686046511627906,6.660231660231659,0.0258148513962472,否,,,
52,600887,伊利股份,1.7,25.89,25.91,6.56624179219776,6.561173292165187,0.0050685000325723,是,,24,
57,000568,泸州老窖,5.950000000000001,91.78,91.09,6.482893876661583,6.532001317378418,-0.049107441,否,,,
64,002441,众业达,0.5,8.01,8.06,6.242197253433209,6.203473945409429,0.0387233080237798,否,,,
66,002091,江苏国泰,0.4699991,7.58,7.7,6.200515831134565,6.103884415584416,0.0966314155501493,否,,,
71,600901,江苏金租,0.4,6.55,6.55,6.106870229007634,6.106870229007634,0,是,,5.8,1.3
