排名,代码,名称,每股分红合计,最新价,昨收,最新分红率,昨日分红率,分红率涨跌幅,是否保留,买入提醒pe,买入提醒价格,买入pb,,,,
200,600028,中国石化,0.22799999999999998,5.1,5.08,4.470588235294118,4.488188976377952,-0.017600741,,,,,,,,
201,600000,浦发银行,0.41,9.21,9.29,4.451682953311617,4.413347685683531,0.03833526762808592,,,,,,,,
202,603899,晨光股份,1,22.48,22.61,4.448398576512456,4.42282176028306,0.025576816229395227,,,,,,,,
203,000550,江铃汽车,0.71914,16.17,16.4,4.447371675943105,4.385000000000001,0.06237167594310389,,,,,,,,
204,600017,日照港,0.119,2.68,2.72,4.4402985074626855,4.375,0.0652985074626855,,,,,,,,
205,002677,浙江美大,0.3,6.77,6.69,4.431314623338257,4.484304932735426,-0.052990309,,,,,,,,
206,002116,中国海诚,0.30937899999999996,6.99,7.07,4.426022889842632,4.375940594059405,0.05008229578322698,,,,,,,,
207,001965,招商公路,0.417,9.44,9.52,4.417372881355932,4.380252100840336,0.037120780515595975,,,,,,,,
208,002594,比亚迪,3.974,90.04,89.45,4.4135939582407815,4.442705422023477,-0.029111464,,,,,,,,
209,000672,上峰材料,0.63,14.29,13.87,4.408677396780966,4.542177361211248,-0.133499964,,,,,,,,
210,600720,中交设计,0.229,5.2,5.28,4.403846153846154,4.337121212121212,0.06672494172494225,,,,,,,,
211,603369,今世缘,1.2,27.26,27.08,4.402054292002934,4.431314623338257,-0.029260331,,,,,,,,
212,002727,一心堂,0.5,11.36,11.31,4.401408450704226,4.420866489832006,-0.019458039,,,,,,,,
213,600351,亚宝药业,0.3,6.82,6.66,4.39882697947214,4.504504504504505,-0.105677525,,,,,,,,
214,603587,地素时尚,0.5,11.38,11.48,4.393673110720562,4.355400696864111,0.038272413856451415,,,,,,,,
215,601336,新华保险,2.6599999999999997,60.66,60.37,4.385097263435543,4.406162000993871,-0.021064738,,,,,,,,
216,605117,德业股份,3.708,84.82,83.5,4.371610469228956,4.440718562874252,-0.069108094,,,,,,,,
217,601857,中国石油,0.47000000000000003,10.77,10.68,4.36397400185701,4.400749063670412,-0.036775062,,,,,,,,
218,600269,赣粤高速,0.16999999999999998,3.9,3.95,4.358974358974359,4.303797468354429,0.05517689061992925,,,,,,,,
219,600197,伊力特,0.45,10.34,10.38,4.352030947775629,4.335260115606936,0.01677083216869235,,,,,,,,
220,003008,开普检测,0.8,18.49,18.45,4.326663061114116,4.336043360433605,-0.009380299,,,,,,,,
221,603309,维力医疗,0.5,11.59,11.57,4.3140638481449525,4.32152117545376,-0.007457327,,,,,,,,
222,600098,广州发展,0.27,6.27,6.28,4.30622009569378,4.299363057324841,0.006857038368938362,,,,,,,,
223,603970,中农立华,0.45,10.46,10.3,4.3021032504780115,4.368932038834951,-0.066828788,,,,,,,,
224,601000,唐山港,0.2,4.67,4.74,4.282655246252677,4.219409282700422,0.06324596355225509,,,,,,,,
225,300532,今天国际,0.30000000000000004,7.02,7.09,4.273504273504274,4.231311706629056,0.042192566875217885,,,,,,,,
226,605338,巴比食品,0.8,18.89,18.93,4.235044997353097,4.226096143687269,0.008948853665827983,,,,,,,,
227,002060,广东建工,0.13999999999999999,3.31,3.37,4.229607250755286,4.154302670623144,0.07530458013214236,,,,,,,,
228,600704,物产中大,0.21000000000000002,4.97,5.02,4.225352112676057,4.183266932270917,0.042085180405139866,,,,,,,,
229,000501,武商集团,0.30000000000000004,7.1,7.16,4.225352112676057,4.189944134078213,0.03540797859784384,,,,,,,,
230,600282,南钢股份,0.2036,4.82,4.96,4.224066390041494,4.104838709677419,0.11922768036407483,,,,,,,,
231,000858,五粮液,3.169,75.11,74.48,4.219145253628012,4.2548335123523096,-0.035688259,,,,,,,,
232,002315,焦点科技,1.15,27.3,27.52,4.212454212454212,4.178779069767442,0.03367514268676963,,,,,,,,
233,601330,绿色动力,0.30000000000000004,7.14,7.18,4.201680672268909,4.178272980501394,0.023407691767515004,,,,,,,,
234,300181,佐力药业,0.6,14.36,13.99,4.178272980501393,4.288777698355968,-0.110504718,,,,,,,,
235,600502,安徽建工,0.19,4.55,4.6,4.175824175824176,4.130434782608696,0.045389393215479856,,,,,,,,
